,Unnamed: 0,starttime,endtime,sampling_rate,st,ch,date_time_id,distance,azimuth,b_azimuth
0,0,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MCIG,HHZ,2021.09.08.01.47.53,,,
1,1,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TJIG,HHE,2021.09.08.01.47.53,,,
2,2,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,SSIG,HHN,2021.09.08.01.47.53,,,
3,3,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,CGIG,HHZ,2021.09.08.01.47.53,,,
4,4,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,OXIG,HHE,2021.09.08.01.47.53,,,
5,5,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MNIG,HHZ,2021.09.08.01.47.53,,,
6,6,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,LNIG,HHZ,2021.09.08.01.47.53,,,
7,7,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,DHIG,HHN,2021.09.08.01.47.53,,,
8,8,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TGIG,HHE,2021.09.08.01.47.53,,,
9,9,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,PEIG,HHZ,2021.09.08.01.47.53,,,
10,10,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MEIG,HHE,2021.09.08.01.47.53,,,
11,11,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,DAIG,HHZ,2021.09.08.01.47.53,,,
12,12,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,ZIIG,HHE,2021.09.08.01.47.53,,,
13,13,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,LNIG,HHN,2021.09.08.01.47.53,,,
14,14,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,LPIG,HHE,2021.09.08.01.47.53,,,
15,15,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TXIG,HHN,2021.09.08.01.47.53,,,
16,16,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TOIG,HHE,2021.09.08.01.47.53,,,
17,17,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,CSIG,HHN,2021.09.08.01.47.53,,,
18,18,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,HLIG,HHE,2021.09.08.01.47.53,,,
19,19,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TSIG,HHN,2021.09.08.01.47.53,,,
20,20,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,YOIG,HHE,2021.09.08.01.47.53,,,
21,21,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MYIG,HHZ,2021.09.08.01.47.53,,,
22,22,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TPIG,HHE,2021.09.08.01.47.53,,,
23,23,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,SRIG,HHZ,2021.09.08.01.47.53,,,
24,24,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TUIG,HHZ,2021.09.08.01.47.53,,,
25,25,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,SRIG,HHN,2021.09.08.01.47.53,,,
26,26,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,HPIG,HHN,2021.09.08.01.47.53,,,
27,27,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MOIG,HHE,2021.09.08.01.47.53,,,
28,28,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,AAIG,HHZ,2021.09.08.01.47.53,,,
29,29,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,YAIG,HHE,2021.09.08.01.47.53,,,
30,30,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TPIG,HHZ,2021.09.08.01.47.53,,,
31,31,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MBIG,HHZ,2021.09.08.01.47.53,,,
32,32,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MOIG,HHN,2021.09.08.01.47.53,,,
33,33,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,AAIG,HHN,2021.09.08.01.47.53,,,
34,34,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,HPIG,HHZ,2021.09.08.01.47.53,,,
35,35,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,HSIG,HHZ,2021.09.08.01.47.53,,,
36,36,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,LPIG,HHZ,2021.09.08.01.47.53,,,
37,37,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,YOIG,HHZ,2021.09.08.01.47.53,,,
38,38,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,NZIG,HHZ,2021.09.08.01.47.53,,,
39,39,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MMIG,HHN,2021.09.08.01.47.53,,,
40,40,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,HSIG,HHN,2021.09.08.01.47.53,,,
41,41,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,DHIG,HHE,2021.09.08.01.47.53,,,
42,42,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,CSIG,HHZ,2021.09.08.01.47.53,,,
43,43,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,PDIG,HHZ,2021.09.08.01.47.53,,,
44,44,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,PLIG,HHZ,2021.09.08.01.47.53,,,
45,45,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,CMIG,HHE,2021.09.08.01.47.53,,,
46,46,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,ANIG,HHZ,2021.09.08.01.47.53,,,
47,47,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MCIG,HHE,2021.09.08.01.47.53,,,
48,48,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,HPIG,HHE,2021.09.08.01.47.53,,,
49,49,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,HUIG,HHN,2021.09.08.01.47.53,,,
50,50,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,PLIG,HHE,2021.09.08.01.47.53,,,
51,51,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TLIG,HHN,2021.09.08.01.47.53,,,
52,52,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,CGIG,HHE,2021.09.08.01.47.53,,,
53,53,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,PEIG,HHE,2021.09.08.01.47.53,,,
54,54,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,HLIG,HHN,2021.09.08.01.47.53,,,
55,55,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,SPIG,HHZ,2021.09.08.01.47.53,,,
56,56,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,PLIG,HHN,2021.09.08.01.47.53,,,
57,57,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,DHIG,HHZ,2021.09.08.01.47.53,,,
58,58,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,LNIG,HHE,2021.09.08.01.47.53,,,
59,59,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TXIG,HHE,2021.09.08.01.47.53,,,
60,60,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,PNIG,HHN,2021.09.08.01.47.53,,,
61,61,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,CJIG,HHN,2021.09.08.01.47.53,,,
62,62,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,LVIG,HHN,2021.09.08.01.47.53,,,
63,63,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,HLIG,HHZ,2021.09.08.01.47.53,,,
64,64,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,SSIG,HHE,2021.09.08.01.47.53,,,
65,65,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,CMIG,HHZ,2021.09.08.01.47.53,,,
66,66,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MEIG,HHN,2021.09.08.01.47.53,,,
67,67,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MCIG,HHN,2021.09.08.01.47.53,,,
68,68,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,OXIG,HHZ,2021.09.08.01.47.53,,,
69,69,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,LVIG,HHZ,2021.09.08.01.47.53,,,
70,70,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,SRIG,HHE,2021.09.08.01.47.53,,,
71,71,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MNIG,HHE,2021.09.08.01.47.53,,,
72,72,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,SPIG,HHE,2021.09.08.01.47.53,,,
73,73,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,PPIG,HHZ,2021.09.08.01.47.53,,,
74,74,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MOIG,HHZ,2021.09.08.01.47.53,,,
75,75,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,NZIG,HHE,2021.09.08.01.47.53,,,
76,76,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,HUIG,HHE,2021.09.08.01.47.53,,,
77,77,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,LVIG,HHE,2021.09.08.01.47.53,,,
78,78,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,YOIG,HHN,2021.09.08.01.47.53,,,
79,79,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,ANIG,HHE,2021.09.08.01.47.53,,,
80,80,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,TOIG,HHZ,2021.09.08.01.47.53,,,
81,81,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,CCIG,HHE,2021.09.08.01.47.53,,,
82,82,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,MAIG,HHE,2021.09.08.01.47.53,,,
83,83,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,PDIG,HHE,2021.09.08.01.47.53,,,
84,84,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,CJIG,HHE,2021.09.08.01.47.53,,,
85,85,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,PZIG,HHZ,2021.09.08.01.47.53,,,
86,86,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,GTIG,HHE,2021.09.08.01.47.53,,,
87,87,2021-09-08T01:47:43.000000Z,2021-09-08T01:53:53.000000Z,100.0,SPIG,HHN,2021.09.08.01.47.53,,,
