,b,cmpaz,cmpinc,delta,depmax,depmen,depmin,e,idep,iftype,istreg,kcmpnm,kevnm,kinst,knetwk,kstnm,lcalda,leven,lovrok,lpspol,npts,nvhdr,nzhour,nzjday,nzmin,nzmsec,nzsec,nzyear,o,stdp,stel,stla,stlo
0,0.0,90.0,90.0,0.00999999977648,189422.0,133.037734985,-138622.0,370.0,8,1,0,HHE,,HHE,IG,ARIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,394.0,18.280500412,-100.347503662
1,0.0,0.0,90.0,0.00999999977648,96163.0,357.929473877,-95431.0,370.0,8,1,0,HHN,,HHN,IG,ARIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,394.0,18.280500412,-100.347503662
2,0.0,90.0,0.0,0.00999999977648,77852.0,1366.34680176,-78848.0,370.0,8,1,0,HHZ,,HHZ,IG,ARIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,394.0,18.280500412,-100.347503662
3,0.0,90.0,90.0,0.00999999977648,116829.0,-77.19556427,-108040.0,370.0,8,1,0,HHE,,HHE,IG,CAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,40.0,17.048500061,-100.267303467
4,0.0,0.0,90.0,0.00999999977648,108959.0,850.678710938,-82559.0,370.0,8,1,0,HHN,,HHN,IG,CAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,40.0,17.048500061,-100.267303467
5,0.0,90.0,0.0,0.00999999977648,56314.0,582.246398926,-84710.0,370.0,8,1,0,HHZ,,HHZ,IG,CAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,40.0,17.048500061,-100.267303467
6,0.0,90.0,90.0,0.00999999977648,561003.0,478.24697876,-802102.0,370.0,8,1,0,HHE,,HHE,IG,CRIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,117.0,16.7362995148,-99.2994995117
7,0.0,0.0,90.0,0.00999999977648,621745.0,-938.300476074,-510378.0,370.0,8,1,0,HHN,,HHN,IG,CRIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,117.0,16.7362995148,-99.2994995117
8,0.0,90.0,0.0,0.00999999977648,338694.0,2625.88525391,-369942.0,370.0,8,1,0,HHZ,,HHZ,IG,CRIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,117.0,16.7362995148,-99.2994995117
9,0.0,90.0,90.0,0.00999999977648,130091.0,-2480.41210938,-140181.0,370.0,8,1,0,HHE,,HHE,IG,DAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,227.0,17.0212974548,-99.6506881714
10,0.0,0.0,90.0,0.00999999977648,108428.0,1136.49841309,-99895.0,370.0,8,1,0,HHN,,HHN,IG,DAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,227.0,17.0212974548,-99.6506881714
11,0.0,90.0,0.0,0.00999999977648,153495.0,-1332.00158691,-192648.0,370.0,8,1,0,HHZ,,HHZ,IG,DAIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,227.0,17.0212974548,-99.6506881714
12,0.0,90.0,90.0,0.00999999977648,99307.0,838.592224121,-81551.0,370.0,8,1,0,HHE,,HHE,IG,FTIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,17.9078998566,-98.1326980591
13,0.0,0.0,90.0,0.00999999977648,42072.0,324.123168945,-58891.0,370.0,8,1,0,HHN,,HHN,IG,FTIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,17.9078998566,-98.1326980591
14,0.0,90.0,0.0,0.00999999977648,49366.0,1590.45837402,-79798.0,370.0,8,1,0,HHZ,,HHZ,IG,FTIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,0.0,17.9078998566,-98.1326980591
15,0.0,90.0,90.0,0.00999999977648,44310.0,-55.4120140076,-35407.0,370.0,8,1,0,HHE,,HHE,IG,HLIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1784.0,17.8299999237,-97.8035964966
16,0.0,0.0,90.0,0.00999999977648,27492.0,-852.697692871,-24309.0,370.0,8,1,0,HHN,,HHN,IG,HLIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1784.0,17.8299999237,-97.8035964966
17,0.0,90.0,0.0,0.00999999977648,40623.0,1851.27648926,-45758.0,370.0,8,1,0,HHZ,,HHZ,IG,HLIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,1784.0,17.8299999237,-97.8035964966
18,0.0,90.0,90.0,0.00999999977648,9339.0,2012.05456543,-4155.0,370.0,8,1,0,HHE,,HHE,IG,HUIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,130.0,15.769200325,-96.1082992554
19,0.0,0.0,90.0,0.00999999977648,6656.0,-2495.09008789,-15367.0,370.0,8,1,0,HHN,,HHN,IG,HUIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,130.0,15.769200325,-96.1082992554
20,0.0,90.0,0.0,0.00999999977648,10690.0,1689.51171875,-6385.0,370.0,8,1,0,HHZ,,HHZ,IG,HUIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,130.0,15.769200325,-96.1082992554
21,0.0,90.0,90.0,0.00999999977648,189201.0,-82.4346084595,-174534.0,370.0,8,1,0,HHE,,HHE,IG,MEIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,554.0,17.9249000549,-99.6196975708
22,0.0,0.0,90.0,0.00999999977648,112954.0,-118.720329285,-109111.0,370.0,8,1,0,HHN,,HHN,IG,MEIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,554.0,17.9249000549,-99.6196975708
23,0.0,90.0,0.0,0.00999999977648,140062.0,-107.010215759,-176523.0,370.0,8,1,0,HHZ,,HHZ,IG,MEIG,1,1,1,0,37001,6,23,273,15,0,22,2019,0.0,0.0,554.0,17.9249000549,-99.6196975708
